SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
15229,212,212034,AP0212034_301222FTO_337636,Bank,30-12-2022,1,43229,30,39432,3,3797,39432,0
15230,212,212034,AP0212034_301222APB_FTO_337637,Bank,30-12-2022,1,23257,18,23257,0,0,23257,0
15231,212,212028,AP0212028_301222FTO_337640,Bank,30-12-2022,1,4956,7,4956,0,0,4956,0
15232,212,212028,AP0212028_301222APB_FTO_337641,Bank,30-12-2022,1,19098,24,19098,0,0,19098,0
15233,212,212010,AP0212010_301222FTO_337727,Bank,30-12-2022,1,2763,3,2763,0,0,2763,0
15234,212,212010,AP0212010_301222APB_FTO_337728,Bank,30-12-2022,1,10720,15,10720,0,0,10720,0
15235,212,212023,AP0212023_301222FTO_337831,Bank,30-12-2022,1,753,3,753,0,0,753,0
15236,212,212023,AP0212023_301222APB_FTO_337835,Bank,30-12-2022,1,3514,14,3514,0,0,3514,0
15237,212,212007,AP0212007_301222FTO_338028,Bank,30-12-2022,1,7193,10,7193,0,0,7193,0
15238,212,212007,AP0212007_301222APB_FTO_338031,Bank,30-12-2022,1,4392,5,4392,0,0,4392,0
15239,212,212026,AP0212026_301222FTO_338194,Bank,30-12-2022,1,13878,9,13878,0,0,13878,0
15240,212,212026,AP0212026_301222APB_FTO_338198,Bank,30-12-2022,1,8995,7,8995,0,0,8995,0
15241,212,212016,AP0212016_301222FTO_338358,Bank,30-12-2022,1,51400,33,51400,0,0,51400,0
15242,212,212016,AP0212016_301222APB_FTO_338359,Bank,30-12-2022,1,42249,29,42249,0,0,42249,0
15243,212,212006,AP0212006_311222FTO_338484,Bank,31-12-2022,1,34065,64,30826,7,3239,30826,0
15244,212,212006,AP0212006_311222APB_FTO_338487,Bank,31-12-2022,1,22352,53,22352,0,0,22352,0
15245,212,212029,AP0212029_311222APB_FTO_338617,Bank,02-01-2023,1,3074,1,3074,0,0,3074,0
15246,212,212028,AP0212028_311222FTO_338802,Bank,31-12-2022,1,4331,4,4331,0,0,4331,0
15247,212,212025,AP0212025_311222FTO_338840,Bank,31-12-2022,1,30748,14,26519,2,4229,26519,0
15248,212,212025,AP0212025_311222APB_FTO_338843,Bank,31-12-2022,1,3972,3,3972,0,0,3972,0
15249,212,212025,AP0212025_010123FTO_339315,Bank,01-01-2023,1,48316,17,48316,0,0,48316,0
15250,212,212025,AP0212025_010123APB_FTO_339316,Bank,01-01-2023,1,66561,32,66561,0,0,66561,0
15251,212,212025,AP0212025_010123FTO_339317,Bank To Cooperative,01-01-2023,1,1402,0,0,0,0,0,0
15252,212,212006,AP0212006_010123FTO_339365,Bank,01-01-2023,1,15022,24,15022,0,0,15022,0
15253,212,212006,AP0212006_010123APB_FTO_339366,Bank,01-01-2023,1,16414,22,16414,0,0,16414,0
15254,212,212027,AP0212027_020123FTO_339424,Bank,02-01-2023,1,46148,44,42948,2,3200,42948,0
15255,212,212029,AP0212029_020123FTO_339467,Bank,02-01-2023,1,1385,1,1385,0,0,1385,0
15256,212,212028,AP0212028_020123FTO_339543,Bank,02-01-2023,1,5970,4,5970,0,0,5970,0
15257,212,212020,AP0212020_020123APB_FTO_339618,Bank,02-01-2023,1,70821,61,70821,0,0,70821,0
15258,212,212020,AP0212020_020123FTO_339625,Bank,02-01-2023,1,129457,114,126751,2,2706,126751,0
15259,212,212002,AP0212002_020123APB_FTO_339630,Bank,02-01-2023,1,193561,160,192425,1,1136,192425,0
15260,212,212002,AP0212002_020123FTO_339634,Bank,02-01-2023,1,207448,169,206183,1,1265,206183,0
15261,212,212004,AP0212004_020123FTO_339656,Bank,02-01-2023,1,29314,24,29314,0,0,29314,0
15262,212,212004,AP0212004_020123FTO_339660,Bank To Cooperative,02-01-2023,1,3855,0,0,0,0,0,0
15263,212,212021,AP0212021_020123FTO_339664,Bank,02-01-2023,1,20680,8,20680,0,0,20680,0
15264,212,212021,AP0212021_020123FTO_339671,Bank,02-01-2023,1,105208,86,103208,2,2000,103208,0
15265,212,212021,AP0212021_020123APB_FTO_339674,Bank,02-01-2023,1,128725,74,125733,2,2992,125733,0
15266,212,212021,AP0212021_020123FTO_339677,Bank,02-01-2023,1,2151,2,2151,0,0,2151,0
15267,212,212032,AP0212032_020123FTO_339721,Bank,02-01-2023,1,13115,14,13115,0,0,13115,0
15268,212,212032,AP0212032_020123APB_FTO_339726,Bank,02-01-2023,1,4085,4,4085,0,0,4085,0
15269,212,212021,AP0212021_020123FTO_339825,Bank,02-01-2023,1,71747,49,70457,1,1290,70457,0
15270,212,212021,AP0212021_020123APB_FTO_339836,Bank,02-01-2023,1,39831,30,39831,0,0,39831,0
15271,212,212010,AP0212010_020123FTO_339843,Bank,02-01-2023,1,221249,228,221027,1,222,221027,0
15272,212,212010,AP0212010_020123APB_FTO_339859,Bank,02-01-2023,1,210457,201,210457,0,0,210457,0
15273,212,212010,AP0212010_020123FTO_339865,Bank To Cooperative,02-01-2023,1,2390,0,0,0,0,0,0
15274,212,212026,AP0212026_020123FTO_339940,Bank,02-01-2023,1,68067,58,65076,3,2991,65076,0
15275,212,212026,AP0212026_020123APB_FTO_339960,Bank,02-01-2023,1,121324,105,121324,0,0,121324,0
15276,212,212025,AP0212025_020123FTO_339961,Bank,02-01-2023,1,78385,27,78385,0,0,78385,0
15277,212,212025,AP0212025_020123APB_FTO_339965,Bank,02-01-2023,1,207656,68,207656,0,0,207656,0
15278,212,212026,AP0212026_020123FTO_339966,Bank To Cooperative,02-01-2023,1,2241,0,0,0,0,0,0
15279,212,212025,AP0212025_020123FTO_339968,Bank To Cooperative,02-01-2023,1,3598,0,0,0,0,0,0
15280,212,212007,AP0212007_020123FTO_340003,Bank,02-01-2023,1,235436,213,234301,1,1135,234301,0
15281,212,212007,AP0212007_020123APB_FTO_340010,Bank,02-01-2023,1,99861,88,99861,0,0,99861,0
15282,212,212007,AP0212007_020123FTO_340011,Bank To Cooperative,02-01-2023,1,601,0,0,0,0,0,0
15283,212,212002,AP0212002_030123APB_FTO_340137,Bank,03-01-2023,1,43246,57,42186,2,1060,42186,0
15284,212,212002,AP0212002_030123FTO_340140,Bank,03-01-2023,1,49770,70,48249,3,1521,48249,0
15285,212,212029,AP0212029_030123FTO_340275,Bank,03-01-2023,1,27854,21,27854,0,0,27854,0
15286,212,212029,AP0212029_030123APB_FTO_340276,Bank,03-01-2023,1,14282,14,14282,0,0,14282,0
15287,212,212022,AP0212022_030123FTO_340313,Bank,03-01-2023,1,74046,65,74046,0,0,74046,0
15288,212,212022,AP0212022_030123APB_FTO_340314,Bank,03-01-2023,1,99239,84,96919,2,2320,96919,0
15289,212,212016,AP0212016_030123FTO_340393,Bank,03-01-2023,1,32639,26,30840,1,1799,30840,0
15290,212,212016,AP0212016_030123APB_FTO_340397,Bank,03-01-2023,1,42405,30,42405,0,0,42405,0
15291,212,212010,AP0212010_030123FTO_340423,Bank,03-01-2023,1,121750,156,121750,0,0,121750,0
15292,212,212010,AP0212010_030123APB_FTO_340429,Bank,03-01-2023,1,64390,79,64390,0,0,64390,0
15293,212,212001,AP0212001_030123FTO_340448,Bank,03-01-2023,1,8540,9,8540,0,0,8540,0
15294,212,212001,AP0212001_030123APB_FTO_340450,Bank,03-01-2023,1,27362,35,27362,0,0,27362,0
15295,212,212025,AP0212025_030123FTO_340488,Bank,03-01-2023,1,86866,24,86866,0,0,86866,0
15296,212,212025,AP0212025_030123APB_FTO_340493,Bank,03-01-2023,1,100487,30,100487,0,0,100487,0
15297,212,212025,AP0212025_030123FTO_340494,Bank To Cooperative,03-01-2023,1,3598,0,0,0,0,0,0
15298,212,212020,AP0212020_030123FTO_340523,Bank,03-01-2023,1,82766,69,81485,1,1281,81485,0
15299,212,212016,AP0212016_030123FTO_340529,Bank,03-01-2023,1,21845,13,21845,0,0,21845,0
15300,212,212020,AP0212020_030123APB_FTO_340531,Bank,03-01-2023,1,42628,37,42628,0,0,42628,0
15301,212,212016,AP0212016_030123APB_FTO_340533,Bank,03-01-2023,1,2056,2,2056,0,0,2056,0
15302,212,212008,AP0212008_030123FTO_340608,Bank,04-01-2023,1,405819,387,398126,6,7693,398126,0
15303,212,212008,AP0212008_030123APB_FTO_340620,Bank,04-01-2023,1,236394,227,236394,0,0,236394,0
15304,212,212024,AP0212024_030123FTO_340651,Bank,03-01-2023,1,255496,225,243504,11,11992,243504,0
15305,212,212024,AP0212024_030123FTO_340655,Bank,03-01-2023,1,54716,55,54506,1,210,54506,0
15306,212,212024,AP0212024_030123APB_FTO_340668,Bank,03-01-2023,1,283728,246,280800,3,2928,280800,0
15307,212,212024,AP0212024_030123FTO_340673,Bank To Cooperative,03-01-2023,1,6297,0,0,0,0,0,0
15308,212,212026,AP0212026_030123FTO_340674,Bank,03-01-2023,1,1482,2,1482,0,0,1482,0
15309,212,212026,AP0212026_030123APB_FTO_340676,Bank,03-01-2023,1,1799,2,1799,0,0,1799,0
15310,212,212018,AP0212018_030123FTO_340697,Bank,03-01-2023,1,153646,143,152142,1,1504,152142,0
15311,212,212018,AP0212018_030123APB_FTO_340702,Bank,03-01-2023,1,96669,83,96669,0,0,96669,0
15312,212,212003,AP0212003_030123FTO_340715,Bank,03-01-2023,1,17186,19,17186,0,0,17186,0
15313,212,212003,AP0212003_030123APB_FTO_340718,Bank,03-01-2023,1,13188,16,13188,0,0,13188,0
15314,212,212007,AP0212007_030123FTO_340868,Bank,03-01-2023,1,30950,35,30950,0,0,30950,0
15315,212,212007,AP0212007_030123APB_FTO_340873,Bank,03-01-2023,1,8186,10,8186,0,0,8186,0
15316,212,212011,AP0212011_030123FTO_340921,Bank,03-01-2023,1,200599,183,199004,1,1595,199004,0
15317,212,212011,AP0212011_030123APB_FTO_340924,Bank,03-01-2023,1,137202,115,137202,0,0,137202,0
15318,212,212011,AP0212011_030123FTO_341034,Bank,03-01-2023,1,10350,8,9200,1,1150,9200,0
15319,212,212011,AP0212011_030123APB_FTO_341036,Bank,03-01-2023,1,11500,9,10350,1,1150,10350,0
15320,212,212012,AP0212012_040123FTO_341082,Bank,04-01-2023,1,46249,42,44965,1,1284,44965,0
15321,212,212012,AP0212012_040123APB_FTO_341087,Bank,04-01-2023,1,59774,52,59774,0,0,59774,0
15322,212,212029,AP0212029_040123FTO_341097,Bank,04-01-2023,1,1258,1,1258,0,0,1258,0
15323,212,212029,AP0212029_040123APB_FTO_341099,Bank,04-01-2023,1,1258,1,1258,0,0,1258,0
15324,212,212029,AP0212029_040123FTO_341103,Bank,04-01-2023,1,18339,13,18339,0,0,18339,0
15325,212,212029,AP0212029_040123FTO_341104,Bank,04-01-2023,1,1542,1,1542,0,0,1542,0
15326,212,212004,AP0212004_040123FTO_341115,Bank,04-01-2023,1,5140,3,3598,1,1542,3598,0
15327,212,212004,AP0212004_040123APB_FTO_341117,Bank,04-01-2023,1,14392,10,14392,0,0,14392,0
15328,212,212019,AP0212019_040123FTO_341125,Bank,05-01-2023,1,107052,114,103972,3,3080,103972,0
15329,212,212019,AP0212019_040123APB_FTO_341128,Bank,05-01-2023,1,170505,152,169098,1,1407,169098,0
15330,212,212015,AP0212015_040123FTO_341134,Bank,04-01-2023,1,146262,104,144977,1,1285,144977,0
15331,212,212015,AP0212015_040123APB_FTO_341139,Bank,04-01-2023,1,129151,89,127609,1,1542,127609,0
15332,212,212022,AP0212022_040123FTO_341158,Bank,04-01-2023,1,53553,52,53553,0,0,53553,0
15333,212,212022,AP0212022_040123APB_FTO_341164,Bank,04-01-2023,1,90979,90,89809,1,1170,89809,0
15334,212,212009,AP0212009_040123FTO_341252,Bank,04-01-2023,1,261238,286,257818,4,3420,257818,0
15335,212,212009,AP0212009_040123APB_FTO_341255,Bank,04-01-2023,1,222873,235,222873,0,0,222873,0
15336,212,212028,AP0212028_040123FTO_341262,Bank,04-01-2023,1,2431,2,2431,0,0,2431,0
15337,212,212028,AP0212028_040123APB_FTO_341263,Bank,04-01-2023,1,1228,1,1228,0,0,1228,0
15338,212,212014,AP0212014_040123FTO_341295,Bank,04-01-2023,1,39654,41,39654,0,0,39654,0
15339,212,212014,AP0212014_040123APB_FTO_341302,Bank,04-01-2023,1,35629,35,35629,0,0,35629,0
15340,212,212001,AP0212001_040123APB_FTO_341356,Bank,04-01-2023,1,10746,13,10746,0,0,10746,0
15341,212,212021,AP0212021_040123FTO_341410,Bank,04-01-2023,1,8101,7,8101,0,0,8101,0
15342,212,212021,AP0212021_040123APB_FTO_341412,Bank,04-01-2023,1,13242,12,13242,0,0,13242,0
15343,212,212002,AP0212002_040123APB_FTO_341436,Bank,05-01-2023,1,34997,32,34997,0,0,34997,0
15344,212,212002,AP0212002_040123FTO_341440,Bank,05-01-2023,1,42170,49,42170,0,0,42170,0
15345,212,212018,AP0212018_040123FTO_341511,Bank,07-01-2023,1,16217,13,16217,0,0,16217,0
15346,212,212017,AP0212017_040123FTO_341544,Bank,07-01-2023,1,34302,39,33026,1,1276,33026,0
15347,212,212017,AP0212017_040123APB_FTO_341546,Bank,07-01-2023,1,20279,22,20279,0,0,20279,0
15348,212,212017,AP0212017_040123FTO_341548,Bank To Cooperative,07-01-2023,1,632,0,0,0,0,0,0
15349,212,212029,AP0212029_040123FTO_341556,Bank,04-01-2023,1,3151,5,3151,0,0,3151,0
15350,212,212029,AP0212029_040123APB_FTO_341568,Bank,04-01-2023,1,18797,23,18797,0,0,18797,0
15351,212,212020,AP0212020_040123FTO_341592,Bank,04-01-2023,1,4592,11,4592,0,0,4592,0
15352,212,212020,AP0212020_040123APB_FTO_341601,Bank,04-01-2023,1,2921,5,2921,0,0,2921,0
15353,212,212016,AP0212016_040123FTO_341654,Bank,04-01-2023,1,31130,30,27908,3,3222,27908,0
15354,212,212016,AP0212016_040123APB_FTO_341655,Bank,04-01-2023,1,14164,13,14164,0,0,14164,0
15355,212,212034,AP0212034_040123FTO_341657,Bank,04-01-2023,1,42362,36,41077,1,1285,41077,0
15356,212,212025,AP0212025_040123FTO_341659,Bank,04-01-2023,1,27609,16,27609,0,0,27609,0
15357,212,212034,AP0212034_040123APB_FTO_341661,Bank,04-01-2023,1,42969,37,42969,0,0,42969,0
15358,212,212016,AP0212016_040123FTO_341663,Bank,04-01-2023,1,8895,8,8895,0,0,8895,0
15359,212,212025,AP0212025_040123APB_FTO_341667,Bank,04-01-2023,1,62903,27,62903,0,0,62903,0
15360,212,212025,AP0212025_040123FTO_341669,Bank To Cooperative,04-01-2023,1,3598,0,0,0,0,0,0
15361,212,212008,AP0212008_040123FTO_341678,Bank,04-01-2023,1,148069,172,145635,3,2434,145635,0
15362,212,212008,AP0212008_040123APB_FTO_341686,Bank,04-01-2023,1,101112,117,101112,0,0,101112,0
15363,212,212007,AP0212007_040123FTO_341708,Bank,04-01-2023,1,74316,67,69887,5,4429,69887,0
15364,212,212007,AP0212007_040123APB_FTO_341711,Bank,04-01-2023,1,37028,30,37028,0,0,37028,0
15365,212,212026,AP0212026_040123FTO_341752,Bank,04-01-2023,1,3262,11,2563,3,699,2563,0
15366,212,212026,AP0212026_040123APB_FTO_341759,Bank,04-01-2023,1,699,3,699,0,0,699,0
15367,212,212010,AP0212010_040123FTO_341775,Bank,04-01-2023,1,88710,145,88710,0,0,88710,0
15368,212,212010,AP0212010_040123APB_FTO_341782,Bank,04-01-2023,1,108051,119,108051,0,0,108051,0
15369,212,212011,AP0212011_040123FTO_342069,Bank,04-01-2023,1,23000,20,23000,0,0,23000,0
15370,212,212011,AP0212011_040123APB_FTO_342070,Bank,04-01-2023,1,14950,13,14950,0,0,14950,0
15371,212,212032,AP0212032_050123APB_FTO_342149,Bank,05-01-2023,1,5574,6,5574,0,0,5574,0
15372,212,212032,AP0212032_050123FTO_342150,Bank To Cooperative,04-02-2023,1,1346,0,0,0,0,0,0
15373,212,212032,AP0212032_050123FTO_342151,Bank,05-01-2023,1,29201,16,29201,0,0,29201,0
15374,212,212032,AP0212032_050123FTO_342152,Bank To Cooperative,04-02-2023,1,1350,0,0,0,0,0,0
15375,212,212003,AP0212003_050123APB_FTO_342222,Bank,05-01-2023,1,40398,35,40398,0,0,40398,0
15376,212,212019,AP0212019_050123FTO_342273,Bank,05-01-2023,1,1254,1,1254,0,0,1254,0
15377,212,212019,AP0212019_050123APB_FTO_342274,Bank,05-01-2023,1,3991,4,3991,0,0,3991,0
15378,212,212013,AP0212013_050123FTO_342275,Bank,05-01-2023,1,128903,121,125670,4,3233,125670,0
15379,212,212013,AP0212013_050123APB_FTO_342279,Bank,05-01-2023,1,136648,115,136648,0,0,136648,0
15380,212,212003,AP0212003_050123FTO_342311,Bank,05-01-2023,1,21515,19,21515,0,0,21515,0
15381,212,212014,AP0212014_050123FTO_342341,Bank,05-01-2023,1,54351,61,53451,1,900,53451,0
15382,212,212014,AP0212014_050123APB_FTO_342348,Bank,05-01-2023,1,27460,33,27460,0,0,27460,0
15383,212,212032,AP0212032_050123FTO_342390,Bank,05-01-2023,1,32405,26,32405,0,0,32405,0
15384,212,212004,AP0212004_050123APB_FTO_342459,Bank,06-01-2023,1,314026,258,314026,0,0,314026,0
15385,212,212029,AP0212029_050123FTO_342460,Bank,05-01-2023,1,771,1,771,0,0,771,0
15386,212,212029,AP0212029_050123APB_FTO_342461,Bank,05-01-2023,1,2313,4,2313,0,0,2313,0
15387,212,212004,AP0212004_050123FTO_342472,Bank,06-01-2023,1,410203,347,402743,8,7460,402743,0
15388,212,212004,AP0212004_050123FTO_342491,Bank To Cooperative,06-01-2023,1,7878,0,0,0,0,0,0
15389,212,212002,AP0212002_050123APB_FTO_342550,Bank,05-01-2023,1,111595,99,110494,1,1101,110494,0
15390,212,212002,AP0212002_050123FTO_342552,Bank,05-01-2023,1,70708,66,70708,0,0,70708,0
15391,212,212012,AP0212012_050123FTO_342621,Bank,05-01-2023,1,55190,62,54620,1,570,54620,0
15392,212,212012,AP0212012_050123APB_FTO_342624,Bank,05-01-2023,1,38462,40,38462,0,0,38462,0
15393,212,212005,AP0212005_050123FTO_342699,Bank,05-01-2023,1,304824,294,303904,1,920,303904,0
15394,212,212005,AP0212005_050123APB_FTO_342720,Bank,05-01-2023,1,181315,172,181315,0,0,181315,0
15395,212,212025,AP0212025_050123APB_FTO_342733,Bank,05-01-2023,1,53178,55,53178,0,0,53178,0
15396,212,212025,AP0212025_050123FTO_342739,Bank,05-01-2023,1,75386,78,75386,0,0,75386,0
15397,212,212025,AP0212025_050123FTO_342747,Bank To Cooperative,05-01-2023,1,1104,0,0,0,0,0,0
15398,212,212016,AP0212016_050123FTO_342781,Bank,05-01-2023,1,15677,9,14392,1,1285,14392,0
15399,212,212016,AP0212016_050123APB_FTO_342784,Bank,05-01-2023,1,13809,12,13809,0,0,13809,0
15400,212,212009,AP0212009_050123FTO_342795,Bank,05-01-2023,1,34962,49,34962,0,0,34962,0
15401,212,212010,AP0212010_050123FTO_342796,Bank,05-01-2023,1,14033,18,14033,0,0,14033,0
15402,212,212009,AP0212009_050123APB_FTO_342797,Bank,05-01-2023,1,30372,41,30372,0,0,30372,0
15403,212,212010,AP0212010_050123APB_FTO_342798,Bank,05-01-2023,1,7586,14,7586,0,0,7586,0
15404,212,212026,AP0212026_050123APB_FTO_342805,Bank,05-01-2023,1,7196,2,7196,0,0,7196,0
15405,212,212007,AP0212007_050123FTO_342812,Bank,05-01-2023,1,12254,28,12022,1,232,12022,0
15406,212,212007,AP0212007_050123APB_FTO_342816,Bank,05-01-2023,1,1929,5,1929,0,0,1929,0
15407,212,212027,AP0212027_050123FTO_342953,Bank,05-01-2023,1,198960,236,195795,4,3165,195795,0
15408,212,212027,AP0212027_050123APB_FTO_342960,Bank,05-01-2023,1,156471,190,155471,1,1000,155471,0
15409,212,212004,AP0212004_060123FTO_343016,Bank,06-01-2023,1,51066,68,51066,0,0,51066,0
15410,212,212004,AP0212004_060123APB_FTO_343017,Bank,06-01-2023,1,16963,18,16963,0,0,16963,0
15411,212,212005,AP0212005_060123FTO_343215,Bank,06-01-2023,1,39430,41,39430,0,0,39430,0
15412,212,212005,AP0212005_060123APB_FTO_343221,Bank,06-01-2023,1,15697,16,15697,0,0,15697,0
15413,212,212020,AP0212020_060123FTO_343333,Bank,06-01-2023,1,4679,6,4679,0,0,4679,0
15414,212,212020,AP0212020_060123APB_FTO_343336,Bank,06-01-2023,1,4422,5,4422,0,0,4422,0
15415,212,212034,AP0212034_060123APB_FTO_343511,Bank,06-01-2023,1,36598,36,36598,0,0,36598,0
15416,212,212003,AP0212003_060123FTO_343710,Bank,06-01-2023,1,2468,4,2468,0,0,2468,0
15417,212,212003,AP0212003_060123APB_FTO_343711,Bank,06-01-2023,1,4528,5,4528,0,0,4528,0
15418,212,212026,AP0212026_060123FTO_343749,Bank,06-01-2023,1,70266,104,65126,4,5140,65126,0
15419,212,212026,AP0212026_060123APB_FTO_343754,Bank,06-01-2023,1,131782,124,131782,0,0,131782,0
15420,212,212026,AP0212026_060123FTO_343801,Bank,06-01-2023,1,6634,14,6634,0,0,6634,0
15421,212,212026,AP0212026_060123APB_FTO_343804,Bank,06-01-2023,1,10554,21,10554,0,0,10554,0
15422,212,212008,AP0212008_060123FTO_344043,Bank,06-01-2023,1,70799,72,68869,3,1930,68869,0
15423,212,212008,AP0212008_060123APB_FTO_344044,Bank,06-01-2023,1,47296,39,47296,0,0,47296,0
15424,212,212019,AP0212019_070123FTO_344276,Bank,07-01-2023,1,42064,33,40754,1,1310,40754,0
15425,212,212019,AP0212019_070123APB_FTO_344277,Bank,07-01-2023,1,61394,47,60187,1,1207,60187,0
15426,212,212017,AP0212017_070123FTO_344305,Bank,07-01-2023,1,84741,73,83901,1,840,83901,0
15427,212,212017,AP0212017_070123APB_FTO_344334,Bank,07-01-2023,1,139666,118,139666,0,0,139666,0
15428,212,212017,AP0212017_070123FTO_344335,Bank To Cooperative,07-01-2023,1,841,0,0,0,0,0,0
15429,212,212023,AP0212023_070123FTO_344337,Bank,07-01-2023,1,50380,43,47177,3,3203,47177,0
15430,212,212023,AP0212023_070123APB_FTO_344338,Bank,07-01-2023,1,12638,7,12638,0,0,12638,0
15431,212,212023,AP0212023_070123APB_FTO_344340,Bank,07-01-2023,1,47011,40,45699,1,1312,45699,0
15432,212,212023,AP0212023_070123APB_FTO_344343,Bank,07-01-2023,1,68582,60,65943,2,2639,65943,0
15433,212,212004,AP0212004_070123FTO_344460,Bank,09-01-2023,1,23330,18,22092,1,1238,22092,0
15434,212,212004,AP0212004_070123APB_FTO_344462,Bank,09-01-2023,1,17236,14,17236,0,0,17236,0
15435,212,212004,AP0212004_070123FTO_344491,Bank,09-01-2023,1,8465,7,8465,0,0,8465,0
15436,212,212026,AP0212026_070123FTO_344578,Bank,07-01-2023,1,68110,94,63122,6,4988,63122,0
15437,212,212026,AP0212026_070123APB_FTO_344581,Bank,07-01-2023,1,73406,114,73406,0,0,73406,0
15438,212,212026,AP0212026_070123FTO_344585,Bank,07-01-2023,1,490,1,490,0,0,490,0
15439,212,212026,AP0212026_070123FTO_344610,Bank,07-01-2023,1,5105,12,5105,0,0,5105,0
15440,212,212026,AP0212026_070123APB_FTO_344613,Bank,07-01-2023,1,2820,7,2820,0,0,2820,0
15441,212,212028,AP0212028_070123FTO_344717,Bank,07-01-2023,1,3673,5,3673,0,0,3673,0
15442,212,212028,AP0212028_070123APB_FTO_344721,Bank,07-01-2023,1,1469,2,1469,0,0,1469,0
15443,212,212014,AP0212014_070123FTO_344727,Bank,07-01-2023,1,147036,136,145956,1,1080,145956,0
15444,212,212014,AP0212014_070123APB_FTO_344729,Bank,07-01-2023,1,63817,59,62593,1,1224,62593,0
15445,212,212018,AP0212018_070123FTO_344767,Bank,07-01-2023,1,103698,107,103698,0,0,103698,0
15446,212,212018,AP0212018_070123APB_FTO_344769,Bank,07-01-2023,1,87833,88,87833,0,0,87833,0
15447,212,212006,AP0212006_070123FTO_344819,Bank,07-01-2023,1,56152,93,52420,6,3732,52420,0
15448,212,212006,AP0212006_070123APB_FTO_344822,Bank,07-01-2023,1,44089,66,44089,0,0,44089,0
15449,212,212028,AP0212028_080123APB_FTO_344841,Bank,08-01-2023,1,4334,5,4334,0,0,4334,0
15450,212,212028,AP0212028_080123FTO_344842,Bank,08-01-2023,1,5948,5,5948,0,0,5948,0
15451,212,212028,AP0212028_080123FTO_344874,Bank,08-01-2023,1,11510,10,11510,0,0,11510,0
15452,212,212028,AP0212028_080123FTO_344875,Bank To Cooperative,08-01-2023,1,807,0,0,0,0,0,0
15453,212,212020,AP0212020_080123FTO_344896,Bank,08-01-2023,1,11236,10,11236,0,0,11236,0
15454,212,212020,AP0212020_080123APB_FTO_344897,Bank,08-01-2023,1,4872,5,4872,0,0,4872,0
15455,212,212025,AP0212025_090123APB_FTO_344915,Bank,09-01-2023,1,15330,16,15330,0,0,15330,0
15456,212,212025,AP0212025_090123FTO_344916,Bank,09-01-2023,1,2835,3,2835,0,0,2835,0
15457,212,212034,AP0212034_090123FTO_344918,Bank,09-01-2023,1,25201,22,23707,1,1494,23707,0
15458,212,212034,AP0212034_090123APB_FTO_344922,Bank,09-01-2023,1,3084,2,3084,0,0,3084,0
15459,212,212010,AP0212010_090123FTO_344928,Bank,10-01-2023,1,8400,8,8400,0,0,8400,0
15460,212,212010,AP0212010_090123APB_FTO_344931,Bank,10-01-2023,1,4476,5,4476,0,0,4476,0
15461,212,212021,AP0212021_090123APB_FTO_344997,Bank,09-01-2023,1,41870,33,41870,0,0,41870,0
15462,212,212028,AP0212028_090123FTO_345080,Bank,11-01-2023,1,2940,2,2940,0,0,2940,0
15463,212,212028,AP0212028_090123APB_FTO_345081,Bank,11-01-2023,1,3416,3,3416,0,0,3416,0
15464,212,212032,AP0212032_090123FTO_345189,Bank,09-01-2023,1,83483,63,83483,0,0,83483,0
15465,212,212024,AP0212024_090123FTO_345209,Bank,09-01-2023,1,180085,207,175213,5,4872,175213,0
15466,212,212024,AP0212024_090123APB_FTO_345219,Bank,09-01-2023,1,131387,145,130539,1,848,130539,0
15467,212,212024,AP0212024_090123FTO_345222,Bank To Cooperative,09-01-2023,1,3220,0,0,0,0,0,0
15468,212,212024,AP0212024_090123FTO_345226,Bank,09-01-2023,1,12656,10,12656,0,0,12656,0
15469,212,212032,AP0212032_090123APB_FTO_345241,Bank,09-01-2023,1,58149,41,58149,0,0,58149,0
15470,212,212034,AP0212034_090123FTO_345253,Bank,09-01-2023,1,23690,16,22440,1,1250,22440,0
15471,212,212034,AP0212034_090123APB_FTO_345255,Bank,09-01-2023,1,10193,8,10193,0,0,10193,0
15472,212,212026,AP0212026_090123FTO_345309,Bank,09-01-2023,1,170307,137,168728,2,1579,168728,0
15473,212,212026,AP0212026_090123APB_FTO_345319,Bank,09-01-2023,1,145461,105,145461,0,0,145461,0
15474,212,212025,AP0212025_090123APB_FTO_345378,Bank,09-01-2023,1,62896,46,61868,1,1028,61868,0
15475,212,212025,AP0212025_090123FTO_345388,Bank,09-01-2023,1,21330,12,19531,1,1799,19531,0
15476,212,212025,AP0212025_090123FTO_345392,Bank,09-01-2023,1,12467,11,12467,0,0,12467,0
15477,212,212025,AP0212025_090123FTO_345394,Bank,09-01-2023,1,1890,2,1890,0,0,1890,0
15478,212,212025,AP0212025_090123FTO_345404,Bank,09-01-2023,1,4626,3,4626,0,0,4626,0
15479,212,212032,AP0212032_090123FTO_345408,Bank,10-01-2023,1,11340,10,11340,0,0,11340,0
15480,212,212025,AP0212025_090123FTO_345410,Bank,09-01-2023,1,1542,1,1542,0,0,1542,0
15481,212,212032,AP0212032_090123APB_FTO_345411,Bank,10-01-2023,1,9390,7,9390,0,0,9390,0
